EmployeeID_Code,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome (km),Education (Years),EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,Salary Hike,PerformanceRating,RelationshipSatisfaction,StandardHours,Segment,PredictedAttritionRisk
RM745,37.0,36-45,Yes,Travel Rarely,1141.0,Research & Development,11.0,2.0,Medical,1.0,1033,1.0,Female,61.0,1.0,2.0,Healthcare Representative,2.0,Married,4777.0,Upto 5k,14382.0,5.0,Y,No,15.0,0.15,3.0,1.0,80,1,0.5830248298768104
RM1168,35.0,26-35,Yes,Travel Rarely,763.0,Sales,15.0,2.0,Medical,1.0,1645,1.0,Male,59.0,1.0,2.0,Sales Executive,4.0,Divorced,5440.0,5k-10k,22098.0,6.0,Y,Yes,14.0,0.14,3.0,4.0,80,1,0.37511979010237156
RM749,26.0,26-35,Yes,Non Travel,265.0,Sales,29.0,2.0,Medical,1.0,1037,2.0,Male,79.0,1.0,2.0,Sales Executive,1.0,Single,4969.0,Upto 5k,21813.0,8.0,Y,No,18.0,0.18,3.0,4.0,80,1,0.7345101763183451
RM945,28.0,26-35,No,Non Travel,1476.0,Research & Development,1.0,3.0,Life Science,1.0,1315,3.0,Female,55.0,1.0,2.0,Laboratory Technician,4.0,Married,6674.0,5k-10k,16392.0,0.0,Y,No,11.0,0.11,3.0,1.0,80,3,0.11478852121958953
RM582,30.0,26-35,No,Travel Rarely,921.0,Research & Development,1.0,3.0,Life Science,1.0,806,4.0,Male,38.0,1.0,1.0,Laboratory Technician,3.0,Married,3833.0,Upto 5k,24375.0,3.0,Y,No,21.0,0.21,4.0,3.0,80,0,0.1864341170242053
RM1390,31.0,26-35,No,Travel Frequently,1125.0,Research & Development,1.0,3.0,Life Science,1.0,1956,4.0,Male,48.0,1.0,2.0,Research Scientist,1.0,Married,5003.0,5k-10k,5771.0,1.0,Y,No,21.0,0.21,4.0,2.0,80,0,0.15735933783911749
RM883,36.0,36-45,No,Travel Rarely,363.0,Research & Development,1.0,3.0,Technical Degree,1.0,1237,3.0,Female,77.0,1.0,3.0,Manufacturing Director,1.0,Divorced,10252.0,10k-15k,4235.0,2.0,Y,Yes,21.0,0.21,4.0,3.0,80,0,0.10343360944046588
RM411,30.0,26-35,No,Travel Rarely,317.0,Research & Development,2.0,3.0,Life Science,1.0,548,3.0,Female,43.0,1.0,2.0,Manufacturing Director,4.0,Single,6091.0,5k-10k,24793.0,2.0,Y,No,20.0,0.2,4.0,3.0,80,0,0.14211909768529882
RM914,45.0,36-45,Yes,Travel Rarely,1449.0,Sales,2.0,3.0,Marketing,1.0,1277,1.0,Female,94.0,1.0,5.0,Manager,2.0,Single,18824.0,15k+,2493.0,2.0,Y,Yes,16.0,0.16,3.0,1.0,80,2,0.668989445568931
RM264,46.0,46-55,No,Travel Rarely,488.0,Sales,2.0,3.0,Technical Degree,1.0,363,3.0,Female,75.0,1.0,4.0,Manager,2.0,Married,16872.0,15k+,14977.0,3.0,Y,Yes,12.0,0.12,3.0,2.0,80,2,0.17844650799835363
RM300,51.0,46-55,No,Travel Rarely,1302.0,Research & Development,2.0,3.0,Medical,1.0,408,4.0,Male,84.0,1.0,2.0,Manufacturing Director,2.0,Divorced,5482.0,5k-10k,16321.0,5.0,Y,No,18.0,0.18,3.0,4.0,80,1,0.16372352555597794
RM1049,34.0,26-35,No,Travel Rarely,1326.0,Sales,3.0,3.0,Other,1.0,1478,4.0,Male,81.0,1.0,2.0,Sales Executive,1.0,Single,4759.0,Upto 5k,15891.0,3.0,Y,No,18.0,0.18,3.0,4.0,80,0,0.17647027457217662
RM899,43.0,36-45,No,Travel Rarely,920.0,Research & Development,3.0,3.0,Life Science,1.0,1255,3.0,Male,96.0,1.0,5.0,Research Director,4.0,Married,19740.0,15k+,18625.0,3.0,Y,No,14.0,0.14,3.0,2.0,80,2,0.0562785974398192
RM1229,41.0,36-45,No,Non Travel,552.0,Human Resources,4.0,3.0,Human Resources,1.0,1722,3.0,Male,60.0,1.0,2.0,Human Resources,2.0,Married,6430.0,5k-10k,20794.0,6.0,Y,No,19.0,0.19,3.0,2.0,80,1,0.10060633678369027
RM1244,45.0,36-45,No,Travel Rarely,176.0,Human Resources,4.0,3.0,Life Science,1.0,1744,3.0,Female,56.0,1.0,3.0,Human Resources,3.0,Married,9756.0,5k-10k,6595.0,4.0,Y,No,21.0,0.21,4.0,3.0,80,0,0.09934593699136363
RM084,38.0,36-45,No,Non Travel,573.0,Research & Development,6.0,3.0,Medical,1.0,107,2.0,Female,79.0,1.0,2.0,Research Scientist,4.0,Divorced,5329.0,5k-10k,15717.0,7.0,Y,Yes,12.0,0.12,3.0,4.0,80,1,0.20957275251197816
RM112,34.0,26-35,Yes,Travel Frequently,658.0,Research & Development,7.0,3.0,Life Science,1.0,147,1.0,Male,66.0,1.0,2.0,Laboratory Technician,3.0,Single,6074.0,5k-10k,22887.0,1.0,Y,Yes,24.0,0.24,4.0,4.0,80,0,0.3336862327608863
RM086,56.0,55+,No,Travel Rarely,1400.0,Research & Development,7.0,3.0,Life Science,1.0,112,4.0,Male,49.0,1.0,3.0,Manufacturing Director,4.0,Single,7260.0,5k-10k,21698.0,4.0,Y,No,11.0,0.11,3.0,1.0,80,2,0.12084728875791642
RM1250,29.0,26-35,Yes,Travel Rarely,428.0,Sales,9.0,3.0,Marketing,1.0,1752,2.0,Female,52.0,1.0,1.0,Sales Representative,2.0,Single,2760.0,Upto 5k,14630.0,1.0,Y,No,13.0,0.13,3.0,3.0,80,3,0.8076000662970567
RM850,43.0,36-45,Yes,Travel Rarely,1372.0,Sales,9.0,3.0,Marketing,1.0,1188,1.0,Female,85.0,1.0,2.0,Sales Executive,3.0,Single,5346.0,5k-10k,9489.0,8.0,Y,No,13.0,0.13,3.0,2.0,80,1,0.6254918317060758
RM1224,47.0,46-55,Yes,Travel Frequently,1093.0,Sales,9.0,3.0,Life Science,1.0,1716,3.0,Male,82.0,1.0,4.0,Sales Executive,3.0,Married,12936.0,10k-15k,24164.0,7.0,Y,No,11.0,0.11,3.0,3.0,80,2,0.5818928098847073
RM1431,38.0,36-45,No,Travel Rarely,201.0,Research & Development,10.0,3.0,Medical,1.0,2015,2.0,Female,99.0,1.0,3.0,Research Director,3.0,Married,13206.0,10k-15k,3376.0,3.0,Y,No,12.0,0.12,3.0,1.0,80,2,0.14441276300075764
RM863,44.0,36-45,No,Non Travel,111.0,Research & Development,17.0,3.0,Life Science,1.0,1206,4.0,Male,74.0,1.0,1.0,Research Scientist,3.0,Single,2290.0,Upto 5k,4279.0,2.0,Y,No,13.0,0.13,3.0,4.0,80,3,0.13180026737580705
RM1262,38.0,36-45,No,Travel Rarely,833.0,Research & Development,18.0,3.0,Medical,1.0,1766,2.0,Male,60.0,1.0,2.0,Healthcare Representative,4.0,Married,5811.0,5k-10k,24539.0,3.0,Y,Yes,16.0,0.16,3.0,3.0,80,0,0.21117109529330572
RM1242,32.0,26-35,No,Travel Rarely,371.0,Sales,19.0,3.0,Life Science,1.0,1739,4.0,Male,80.0,1.0,3.0,Sales Executive,3.0,Married,9610.0,5k-10k,3840.0,3.0,Y,No,13.0,0.13,3.0,3.0,80,3,0.24837919483537765
RM133,31.0,26-35,Yes,Travel Rarely,542.0,Sales,20.0,3.0,Life Science,1.0,175,2.0,Female,71.0,1.0,2.0,Sales Executive,3.0,Married,4559.0,Upto 5k,24788.0,3.0,Y,Yes,11.0,0.11,3.0,3.0,80,3,0.7024638922577914
RM1035,45.0,36-45,No,Travel Rarely,1038.0,Research & Development,20.0,3.0,Medical,1.0,1460,2.0,Male,95.0,1.0,3.0,Healthcare Representative,1.0,Divorced,10851.0,10k-15k,19863.0,2.0,Y,Yes,18.0,0.18,3.0,2.0,80,2,0.17060928480105592
RM431,35.0,26-35,No,Travel Rarely,144.0,Research & Development,22.0,3.0,Life Science,1.0,577,4.0,Male,46.0,1.0,1.0,Laboratory Technician,3.0,Single,4230.0,Upto 5k,19225.0,0.0,Y,No,15.0,0.15,3.0,3.0,80,3,0.18657897036704918
RM121,30.0,26-35,No,Travel Frequently,1312.0,Research & Development,23.0,3.0,Life Science,1.0,159,1.0,Male,96.0,1.0,1.0,Research Scientist,3.0,Divorced,2613.0,Upto 5k,22310.0,1.0,Y,No,25.0,0.25,4.0,3.0,80,0,0.3470273718581439
RM464,26.0,26-35,Yes,Travel Rarely,471.0,Research & Development,24.0,3.0,Technical Degree,1.0,622,3.0,Male,66.0,1.0,1.0,Laboratory Technician,4.0,Single,2340.0,Upto 5k,23213.0,1.0,Y,Yes,18.0,0.18,3.0,2.0,80,0,0.8533135846676067
RM544,44.0,36-45,No,Non Travel,381.0,Research & Development,24.0,3.0,Medical,1.0,744,1.0,Male,49.0,1.0,1.0,Laboratory Technician,3.0,Single,3708.0,Upto 5k,2104.0,2.0,Y,No,14.0,0.14,3.0,3.0,80,3,0.2069533456976198
RM043,26.0,26-35,Yes,Travel Rarely,1357.0,Research & Development,25.0,3.0,Life Science,1.0,55,1.0,Male,48.0,1.0,1.0,Laboratory Technician,3.0,Single,2293.0,Upto 5k,10558.0,1.0,Y,No,12.0,0.12,3.0,3.0,80,3,0.5982641555412368
RM1152,28.0,26-35,No,Travel Rarely,580.0,Research & Development,27.0,3.0,Medical,1.0,1622,2.0,Female,39.0,1.0,2.0,Manufacturing Director,1.0,Divorced,4877.0,Upto 5k,20460.0,0.0,Y,No,21.0,0.21,4.0,2.0,80,0,0.25085362797482297
RM459,40.0,36-45,No,Non Travel,1094.0,Sales,28.0,3.0,Other,1.0,615,3.0,Male,58.0,1.0,3.0,Sales Executive,1.0,Divorced,10932.0,10k-15k,11373.0,3.0,Y,No,15.0,0.15,3.0,3.0,80,2,0.18962210002397126
RM825,42.0,36-45,No,Travel Rarely,188.0,Research & Development,29.0,3.0,Medical,1.0,1148,2.0,Male,56.0,1.0,2.0,Laboratory Technician,4.0,Single,4272.0,Upto 5k,9558.0,4.0,Y,No,19.0,0.19,3.0,1.0,80,0,0.18012076425310844
RM520,29.0,26-35,No,Travel Frequently,806.0,Research & Development,1.0,4.0,Life Science,1.0,710,2.0,Male,76.0,1.0,1.0,Research Scientist,4.0,Divorced,2720.0,Upto 5k,18959.0,1.0,Y,No,18.0,0.18,3.0,4.0,80,0,0.2140606582209005
RM1013,31.0,26-35,Yes,Travel Frequently,667.0,Sales,1.0,4.0,Life Science,1.0,1427,2.0,Female,50.0,1.0,1.0,Sales Representative,3.0,Single,1359.0,Upto 5k,16154.0,1.0,Y,No,12.0,0.12,3.0,2.0,80,3,0.766234312456786
RM225,31.0,26-35,No,Non Travel,979.0,Research & Development,1.0,4.0,Medical,1.0,308,3.0,Male,90.0,1.0,2.0,Manufacturing Director,3.0,Married,4345.0,Upto 5k,4381.0,0.0,Y,No,12.0,0.12,3.0,4.0,80,3,0.13096849197998567
RM1459,35.0,26-35,No,Travel Rarely,287.0,Research & Development,1.0,4.0,Life Science,1.0,2052,3.0,Female,62.0,1.0,1.0,Research Scientist,4.0,Married,2977.0,Upto 5k,8952.0,1.0,Y,No,12.0,0.12,3.0,4.0,80,3,0.12336376346916732
RM1212,37.0,36-45,No,Travel Frequently,1278.0,Sales,1.0,4.0,Medical,1.0,1700,3.0,Male,31.0,1.0,2.0,Sales Executive,4.0,Divorced,9525.0,5k-10k,7677.0,1.0,Y,No,14.0,0.14,3.0,3.0,80,3,0.08157687204616616
RM309,58.0,55+,No,Non Travel,390.0,Research & Development,1.0,4.0,Life Science,1.0,422,4.0,Male,32.0,1.0,2.0,Healthcare Representative,3.0,Divorced,5660.0,5k-10k,17056.0,2.0,Y,Yes,13.0,0.13,3.0,4.0,80,2,0.08925546524889237
RM1210,60.0,55+,No,Travel Rarely,370.0,Research & Development,1.0,4.0,Medical,1.0,1697,3.0,Male,92.0,1.0,3.0,Healthcare Representative,4.0,Divorced,10883.0,10k-15k,20467.0,3.0,Y,No,20.0,0.2,4.0,3.0,80,2,0.09893461350350523
RM324,28.0,26-35,Yes,Travel Rarely,1157.0,Research & Development,2.0,4.0,Medical,1.0,440,1.0,Male,84.0,1.0,1.0,Research Scientist,4.0,Married,3464.0,Upto 5k,24737.0,5.0,Y,Yes,13.0,0.13,3.0,4.0,80,3,0.4423811192015904
RM1309,38.0,36-45,No,Travel Rarely,723.0,Sales,2.0,4.0,Marketing,1.0,1835,2.0,Female,77.0,1.0,2.0,Sales Representative,4.0,Married,5405.0,5k-10k,4244.0,2.0,Y,Yes,20.0,0.2,4.0,1.0,80,0,0.2592295335228435
RM668,41.0,36-45,Yes,Travel Rarely,1085.0,Research & Development,2.0,4.0,Life Science,1.0,927,2.0,Female,57.0,1.0,1.0,Laboratory Technician,4.0,Divorced,2778.0,Upto 5k,17725.0,4.0,Y,Yes,13.0,0.13,3.0,3.0,80,3,0.688967686466938
RM211,32.0,26-35,Yes,Travel Rarely,1045.0,Sales,4.0,4.0,Medical,1.0,291,4.0,Male,32.0,1.0,3.0,Sales Executive,4.0,Married,10400.0,10k-15k,25812.0,1.0,Y,No,11.0,0.11,3.0,3.0,80,3,0.17409263427427715
RM125,31.0,26-35,Yes,Travel Rarely,249.0,Sales,6.0,4.0,Life Science,1.0,163,2.0,Male,76.0,1.0,2.0,Sales Executive,3.0,Married,6172.0,5k-10k,20739.0,4.0,Y,Yes,18.0,0.18,3.0,2.0,80,0,0.39851395337809015
RM509,35.0,26-35,No,Travel Rarely,1017.0,Research & Development,6.0,4.0,Life Science,1.0,691,2.0,Male,82.0,1.0,2.0,Research Scientist,4.0,Single,6646.0,5k-10k,19368.0,1.0,Y,No,13.0,0.13,3.0,2.0,80,3,0.11578907276743516
RM874,36.0,36-45,No,Travel Rarely,917.0,Research & Development,6.0,4.0,Life Science,1.0,1221,3.0,Male,60.0,1.0,1.0,Laboratory Technician,3.0,Divorced,2741.0,Upto 5k,6865.0,1.0,Y,No,14.0,0.14,3.0,3.0,80,3,0.2229813703425808
RM337,29.0,26-35,Yes,Travel Rarely,318.0,Research & Development,8.0,4.0,Other,1.0,454,2.0,Male,77.0,1.0,1.0,Laboratory Technician,1.0,Married,2119.0,Upto 5k,4759.0,1.0,Y,Yes,11.0,0.11,3.0,4.0,80,3,0.7714847108069325
RM137,51.0,46-55,Yes,Travel Frequently,1150.0,Research & Development,8.0,4.0,Life Science,1.0,179,1.0,Male,53.0,1.0,3.0,Manufacturing Director,4.0,Single,10650.0,10k-15k,25150.0,2.0,Y,No,15.0,0.15,3.0,4.0,80,2,0.5288829914829555
RM1448,36.0,36-45,No,Non Travel,301.0,Sales,15.0,4.0,Marketing,1.0,2036,4.0,Male,88.0,1.0,2.0,Sales Executive,4.0,Divorced,5406.0,5k-10k,10436.0,1.0,Y,No,24.0,0.24,4.0,1.0,80,0,0.1471184916573195
RM1354,34.0,26-35,Yes,Non Travel,967.0,Research & Development,16.0,4.0,Technical Degree,1.0,1905,4.0,Male,85.0,1.0,1.0,Research Scientist,1.0,Married,2307.0,Upto 5k,14460.0,1.0,Y,Yes,23.0,0.23,4.0,2.0,80,0,0.8033589235769449
RM1225,26.0,26-35,No,Travel Rarely,390.0,Research & Development,17.0,4.0,Medical,1.0,1718,4.0,Male,62.0,1.0,1.0,Laboratory Technician,3.0,Married,2305.0,Upto 5k,6217.0,1.0,Y,No,15.0,0.15,3.0,3.0,80,3,0.2739669599823438
RM1367,39.0,36-45,No,Non Travel,1251.0,Sales,21.0,4.0,Life Science,1.0,1929,1.0,Female,32.0,1.0,2.0,Sales Executive,3.0,Married,5736.0,5k-10k,3987.0,6.0,Y,No,19.0,0.19,3.0,3.0,80,0,0.15455364138964098
RM1303,35.0,26-35,No,Travel Rarely,185.0,Research & Development,23.0,4.0,Medical,1.0,1826,2.0,Male,91.0,1.0,1.0,Laboratory Technician,3.0,Married,2705.0,Upto 5k,9696.0,0.0,Y,No,16.0,0.16,3.0,2.0,80,3,0.22106849864495265
RM1143,45.0,36-45,No,Travel Rarely,1015.0,Research & Development,5.0,5.0,Medical,1.0,1611,3.0,Female,50.0,1.0,2.0,Laboratory Technician,1.0,Single,5769.0,5k-10k,23447.0,1.0,Y,Yes,14.0,0.14,3.0,1.0,80,3,0.1877742712066797
RM787,27.0,26-35,No,Non Travel,1277.0,Research & Development,8.0,5.0,Life Science,1.0,1094,1.0,Male,87.0,1.0,1.0,Laboratory Technician,3.0,Married,4621.0,Upto 5k,5869.0,1.0,Y,No,19.0,0.19,3.0,4.0,80,0,0.2320141903863818
RM1087,50.0,46-55,No,Travel Frequently,333.0,Research & Development,22.0,5.0,Medical,1.0,1539,3.0,Male,88.0,1.0,4.0,Research Director,4.0,Single,14411.0,10k-15k,24450.0,1.0,Y,Yes,13.0,0.13,3.0,4.0,80,2,0.14129461813212796
RM358,21.0,18-25,Yes,Travel Frequently,756.0,Sales,1.0,1.0,Technical Degree,1.0,478,1.0,Female,99.0,2.0,1.0,Sales Representative,2.0,Single,2174.0,Upto 5k,9150.0,1.0,Y,Yes,11.0,0.11,3.0,3.0,80,3,0.5598224256781961
RM816,21.0,18-25,No,Travel Rarely,984.0,Research & Development,1.0,1.0,Technical Degree,1.0,1131,4.0,Female,70.0,2.0,1.0,Research Scientist,2.0,Single,2070.0,Upto 5k,25326.0,1.0,Y,Yes,11.0,0.11,3.0,3.0,80,3,0.36849682977379566
RM770,26.0,26-35,No,Travel Frequently,921.0,Research & Development,1.0,1.0,Medical,1.0,1068,1.0,Female,66.0,2.0,1.0,Research Scientist,3.0,Divorced,2007.0,Upto 5k,25265.0,1.0,Y,No,13.0,0.13,3.0,3.0,80,3,0.2731923269700472
RM201,27.0,26-35,No,Travel Frequently,472.0,Research & Development,1.0,1.0,Technical Degree,1.0,274,3.0,Male,60.0,2.0,2.0,Manufacturing Director,1.0,Married,4298.0,Upto 5k,9679.0,5.0,Y,No,19.0,0.19,3.0,3.0,80,1,0.17031873680872883
RM081,30.0,26-35,No,Travel Rarely,852.0,Research & Development,1.0,1.0,Life Science,1.0,104,4.0,Male,55.0,2.0,2.0,Laboratory Technician,4.0,Married,5126.0,5k-10k,15998.0,1.0,Y,Yes,12.0,0.12,3.0,3.0,80,3,0.1461320379081272
RM212,30.0,26-35,No,Non Travel,829.0,Research & Development,1.0,1.0,Life Science,1.0,292,3.0,Male,88.0,2.0,3.0,Manufacturing Director,3.0,Single,8474.0,5k-10k,20925.0,1.0,Y,No,22.0,0.22,4.0,3.0,80,0,0.10462972209430801
RM739,39.0,36-45,No,Travel Rarely,466.0,Research & Development,1.0,1.0,Life Science,1.0,1026,4.0,Female,65.0,2.0,4.0,Manufacturing Director,4.0,Married,12742.0,10k-15k,7060.0,1.0,Y,No,16.0,0.16,3.0,3.0,80,2,0.05553485166928091
RM1222,45.0,36-45,No,Non Travel,1238.0,Research & Development,1.0,1.0,Life Science,1.0,1712,3.0,Male,74.0,2.0,3.0,Healthcare Representative,3.0,Married,10748.0,10k-15k,3395.0,3.0,Y,No,23.0,0.23,4.0,4.0,80,0,0.034329877184164206
RM071,59.0,55+,No,Travel Frequently,1225.0,Sales,1.0,1.0,Life Science,1.0,91,1.0,Female,57.0,2.0,2.0,Sales Executive,3.0,Single,5473.0,5k-10k,24668.0,7.0,Y,No,11.0,0.11,3.0,4.0,80,1,0.24960209770150418
RM999,26.0,26-35,No,Travel Rarely,683.0,Research & Development,2.0,1.0,Medical,1.0,1407,1.0,Male,36.0,2.0,1.0,Research Scientist,4.0,Single,3904.0,Upto 5k,4050.0,0.0,Y,No,12.0,0.12,3.0,4.0,80,3,0.14803135318817162
RM820,28.0,26-35,No,Travel Rarely,1451.0,Research & Development,2.0,1.0,Life Science,1.0,1136,1.0,Male,67.0,2.0,1.0,Research Scientist,2.0,Married,3201.0,Upto 5k,19911.0,0.0,Y,No,17.0,0.17,3.0,1.0,80,3,0.33622418409266464
RM147,30.0,26-35,No,Travel Rarely,1427.0,Research & Development,2.0,1.0,Medical,1.0,198,2.0,Male,35.0,2.0,1.0,Laboratory Technician,4.0,Single,2720.0,Upto 5k,11162.0,0.0,Y,No,13.0,0.13,3.0,4.0,80,3,0.20115448718216677
RM263,32.0,26-35,No,Travel Rarely,128.0,Research & Development,2.0,1.0,Technical Degree,1.0,362,4.0,Male,84.0,2.0,2.0,Laboratory Technician,1.0,Single,2176.0,Upto 5k,19737.0,4.0,Y,No,13.0,0.13,3.0,4.0,80,1,0.189036891387803
